,title,text,rating,sentiment,processed
16,Zlatovice Cerne Lehky Златовица Черное Легкое (Россия),"Еще один брульянт из недр химскинского Глобуса. Черное Легкое от Очаково! Тут маркетологи Очаково доказали что не зря едят хлеб и заюзали все возможные шаблоны. Так лихо замаскировали свой продукт под чешский, что если не вникать в контрэтикетку, то и вовсе отправиться в родные Химки из Глобуса так гордо, будто за полтос закупился элиточкой! Пиво порадовало пеной. Она действительно хороша и висит долго. Не яркий, но и без ожидаемой гадости. Тут немного карамели, сухофруктов. Немного жженого сахара, сухофруктов. Немного не хватило плотности.  На удивление пиво оказалось не таким ужасным, как я себе его представил впервые увидев на полке.  ",6.8,1,"['ещё', 'один', 'брульянт', 'из', 'недра', 'химскинский', 'глобус', '.', 'чёрный', 'лёгкий', 'от', 'очаково', '!', 'тут', 'маркетолог', 'очаково', 'доказать', 'что', 'не', 'зря', 'есть', 'хлеб', 'и', 'заюзали', 'всё', 'возможный', 'шаблон', '.', 'так', 'лихо', 'замаскировать', 'свой', 'продукт', 'под', 'чешский', ',', 'что', 'если', 'не', 'вникать', 'в', 'контрэтикетка', ',', 'то', 'и', 'вовсе', 'отправиться', 'в', 'родный', 'химки', 'из', 'глобус', 'так', 'гордо', ',', 'будто', 'за', 'полтос', 'закупиться', 'элиточка', '!', 'пиво', 'порадовать', 'пена', '.', 'она', 'действительно', 'хороший', 'и', 'висеть', 'долго', '.', 'не', 'яркий', ',', 'но', 'и', 'без', 'ожидать', 'гадость', '.', 'тут', 'немного', 'карамель', ',', 'сухофрукты', '.', 'немного', 'жжёный', 'сахар', ',', 'сухофрукты', '.', 'немного', 'не', 'хватить', 'плотность', '.', 'на', 'удивление', 'пиво', 'оказаться', 'не', 'такой', 'ужасный', ',', 'как', 'я', 'себя', 'он', 'представить', 'впервые', 'увидеть', 'на', 'полка', '.']"
17,Kenigsbacher Schwarz Bier Кенингсбахер Шварц Бир (Германия),"Немецкий Карлсберг. Не путать с датским Carlsberg. Уже не помню где купил и за какую цену. Возможно тоже химкинское. Мне одному кажется что тут картинка чуть съехала при печати? Пена обильная и достаточно долгая.  Аромат не плохой. Насыщенный. Карамель и кофе. Вкус абсолютно не оправдывает аромат. Ожидаешь плотности, а тут вода-водой из чуть ржавого водопровода. Из плюсов - немного кофе и приятное сухое послевкусие. Неоднозначные впечатления. Вроде и питко, но слабовато для шварца. Вспомнить бы цену, да не могу!  ",7.0,1,"['немецкий', 'карлсберг', '.', 'не', 'путать', 'с', 'датский', 'carlsberg', '.', 'уже', 'не', 'помнить', 'где', 'купить', 'и', 'за', 'какой', 'цена', '.', 'возможно', 'тоже', 'химкинский', '.', 'я', 'один', 'казаться', 'что', 'тут', 'картинка', 'чуть', 'съехать', 'при', 'печать', '?', 'пена', 'обильный', 'и', 'достаточно', 'долгий', '.', 'аромат', 'не', 'плохой', '.', 'насыщенный', '.', 'карамель', 'и', 'кофе', '.', 'вкус', 'абсолютно', 'не', 'оправдывать', 'аромат', '.', 'ожидать', 'плотность', ',', 'а', 'тут', 'вода-вода', 'из', 'чуть', 'ржавый', 'водопровод', '.', 'из', 'плюс', '-', 'немного', 'кофе', 'и', 'приятный', 'сухой', 'послевкусие', '.', 'неоднозначный', 'впечатление', '.', 'вроде', 'и', 'питко', ',', 'но', 'слабовато', 'для', 'шварц', '.', 'вспомнить', 'бы', 'цена', ',', 'да', 'не', 'мочь', '!']"
18,Classic Special Beer Жигулевское Специальное (Россия),"В очередной попытке нащупать дно я решил вдарить по ЧТМ. Это частная торговая марка, владельцем которой является розничная сеть. Иногда используют еще аббревиатуру СТМ - собственная торговая марка. Но смысл тут одинаков. Идея в извлечении максимальной маржи за счет заказа больших партий недорогих продуктов и стимулирования оборота за счет предоставления этим товарам выгодных собственных торговых мест. Учитывая что в цену продукта еще и рекламных бюджетов не закладывается, то маржа получается еще больше. Вначале, ритейлеры шли на поводу своей жадности и экономили абсолютно на всем, пытаясь найти максимально дешевое производство и упаковку. Поэтому продукт был ужасен внешне и на вкус, но очень дешев. Затем настроения поменялись и многие ритейлеры пересмотрели подход к ЧТМ. Упаковка некоторых чтм товаров стала дорогая и богатая. Вкусовые характеристики тоже подтянулись, местами. Но как не крути, а осадочек остался. И многие относятся с недоверием к товарам на полке под брендами подобным Aro, 365 дней, Первым делом и т.д. Пиво Classic Special Beer сварено для сети гипермаркетов ОКЕЙ на Трехсосенском Заводе, в Самаре. На этикетке текстовая белиберда. Тут вообще не ясно где название бренда, где название пива. Вверху надпись ""Верность традициям"" с 1935 года. Вероятно, отсылка к году изобретения сорта ""Жигулевское"" Пены очень мало. Рыхлая исчезает сразу. За дизайн спасибо конечно. Но при чем тут жигулевское, олени, орел и горы? Еще буква С  выглядит как G. Glassic Обычный солодовый аромат, с легким намеком на хмелек.  Пиво изрядно водянистое. Чуть кислит. В послевкусии уходит в небольшую хмелевую горечь.  Обычное Трехсосенское. Не противное! И на том спасибо!  ",5.0,1,"['в', 'очередной', 'попытка', 'нащупать', 'дно', 'я', 'решить', 'вдарить', 'по', 'чтм', '.', 'это', 'частный', 'торговый', 'марк', ',', 'владелец', 'который', 'являться', 'розничный', 'сеть', '.', 'иногда', 'использовать', 'ещё', 'аббревиатура', 'стм', '-', 'собственный', 'торговый', 'марк', '.', 'но', 'смысл', 'тут', 'одинаковый', '.', 'идея', 'в', 'извлечение', 'максимальный', 'маржа', 'за', 'счёт', 'заказ', 'больший', 'партия', 'недорогой', 'продукт', 'и', 'стимулирование', 'оборот', 'за', 'счёт', 'предоставление', 'это', 'товар', 'выгодный', 'собственный', 'торговый', 'место', '.', 'учитывать', 'что', 'в', 'цена', 'продукт', 'ещё', 'и', 'рекламный', 'бюджет', 'не', 'закладываться', ',', 'то', 'маржа', 'получаться', 'ещё', 'большой', '.', 'вначале', ',', 'ретейлер', 'идти', 'на', 'повод', 'свой', 'жадность', 'и', 'экономить', 'абсолютно', 'на', 'весь', ',', 'пытаться', 'найти', 'максимально', 'дешёвый', 'производство', 'и', 'упаковка', '.', 'поэтому', 'продукт', 'быть', 'ужасный', 'внешне', 'и', 'на', 'вкус', ',', 'но', 'очень', 'дешёвый', '.', 'затем', 'настроение', 'поменяться', 'и', 'многие', 'ретейлер', 'пересмотреть', 'подход', 'к', 'чтм', '.', 'упаковка', 'некоторый', 'чтм', 'товар', 'стать', 'дорогой', 'и', 'богатый', '.', 'вкусовой', 'характеристика', 'тоже', 'подтянуться', ',', 'место', '.', 'но', 'как', 'не', 'крутить', ',', 'а', 'осадочек', 'остаться', '.', 'и', 'многие', 'относиться', 'с', 'недоверие', 'к', 'товар', 'на', 'полка', 'под', 'бренд', 'подобный', 'aro', ',', '365', 'день', ',', 'первый', 'дело', 'и', 'т.д', '.', 'пиво', 'classic', 'special', 'beer', 'сварить', 'для', 'сеть', 'гипермаркет', 'окей', 'на', 'трехсосенский', 'завод', ',', 'в', 'самара', '.', 'на', 'этикетка', 'текстовый', 'белиберда', '.', 'тут', 'вообще', 'не', 'ясно', 'где', 'название', 'бренд', ',', 'где', 'название', 'пиво', '.', 'вверху', 'надпись', '``', 'верность', 'традиция', ""''"", 'с', '1935', 'год', '.', 'вероятно', ',', 'отсылка', 'к', 'год', 'изобретение', 'сорт', '``', 'жигулёвский', ""''"", 'пена', 'очень', 'мало', '.', 'рыхлый', 'исчезать', 'сразу', '.', 'за', 'дизайн', 'спасибо', 'конечно', '.', 'но', 'при', 'чем', 'тут', 'жигулёвский', ',', 'олень', ',', 'орёл', 'и', 'гора', '?', 'ещё', 'буква', 'с', 'выглядеть', 'как', 'g.', 'glassic', 'обычный', 'солодовый', 'аромат', ',', 'с', 'лёгкий', 'намёк', 'на', 'хмелёк', '.', 'пиво', 'изрядно', 'водянистый', '.', 'чуть', 'кислить', '.', 'в', 'послевкусие', 'уходить', 'в', 'небольшой', 'хмелевой', 'горечь', '.', 'обычный', 'трехсосенский', '.', 'не', 'противный', '!', 'и', 'на', 'тот', 'спасибо', '!']"
19,Чешское для баров (Россия),"Еще одно пиво приобретенное в московской области, в мытищинском Глобусе. В Санкт-Петербурге я такого не встречал. Пиво называется Чешское. К такому все уже давно привыкли. Кого таки удивишь российским Чешским? Чешского у нас на полках целый воз и маленькая тележка. В данном случае производитель в нейминге пошел еще дальше, и дописал ""Для баров"", к уже никому неудивительному ""Чешское"". Получилось ""Чешское для баров"". Конгениально! Дизайн этикетки не плох. Но вот вся эта история с названием как-то пошловато выглядит. Ладно бы оно было просто Чешским, так ведь оно еще и для баров! Пена отдала все свои жалкие силы сразу после того как пиво оказалось в бокале. После этого моментально исчезла. Пенной корки нет.  Нейтральный, с небольшим намеком на мокрый картон.  ЭНС 13? Не верю. На вкус сладкая водичка. Чуть травянистая. Единственное что добавляет этому пиву интереса, то что оно в послевкусии ощутимо уходит в горчинку. Если меня читают создатели пива, я бы предложил им переименовать это пиво. Вот в моем представлении такое пиво идеально бы заходило в рюмочных. Ну какие бары? В барах нынче крафт, или азотные стауты. А если и Чехия, то уж точно не из Смоленска. А в рюмочной, после хреновухи и бутерброда с килькой, такое пиво залетело бы на ура! Чешское для рюмочных! Идеальный вариант! Не благодарите... ",4.7,-1,"['ещё', 'один', 'пиво', 'приобрести', 'в', 'московский', 'область', ',', 'в', 'мытищинский', 'глобус', '.', 'в', 'санкт-петербург', 'я', 'такой', 'не', 'встречать', '.', 'пиво', 'называться', 'чешский', '.', 'к', 'такой', 'всё', 'уже', 'давно', 'привыкнуть', '.', 'кто', 'таки', 'удивить', 'российский', 'чешский', '?', 'чешский', 'у', 'мы', 'на', 'полка', 'целый', 'воз', 'и', 'маленький', 'тележка', '.', 'в', 'данный', 'случай', 'производитель', 'в', 'нейминг', 'пойти', 'ещё', 'далёкий', ',', 'и', 'дописать', '``', 'для', 'бар', ""''"", ',', 'к', 'уже', 'никто', 'неудивительный', '``', 'чешский', ""''"", '.', 'получиться', '``', 'чешский', 'для', 'бар', ""''"", '.', 'конгениальный', '!', 'дизайн', 'этикетка', 'не', 'плохой', '.', 'но', 'вот', 'весь', 'этот', 'история', 'с', 'название', 'как-то', 'пошловато', 'выглядеть', '.', 'ладный', 'бы', 'оно', 'быть', 'просто', 'чешский', ',', 'так', 'ведь', 'оно', 'ещё', 'и', 'для', 'бар', '!', 'пена', 'отдать', 'всё', 'свой', 'жалкий', 'сила', 'сразу', 'после', 'тот', 'как', 'пиво', 'оказаться', 'в', 'бокал', '.', 'после', 'это', 'моментально', 'исчезнуть', '.', 'пенный', 'корка', 'нет', '.', 'нейтральный', ',', 'с', 'небольшой', 'намёк', 'на', 'мокрый', 'картон', '.', 'энс', '13', '?', 'не', 'верить', '.', 'на', 'вкус', 'сладкий', 'водичка', '.', 'чуть', 'травянистый', '.', 'единственный', 'что', 'добавлять', 'этот', 'пиво', 'интерес', ',', 'то', 'что', 'оно', 'в', 'послевкусие', 'ощутимо', 'уходить', 'в', 'горчинка', '.', 'если', 'я', 'читать', 'создатель', 'пиво', ',', 'я', 'бы', 'предложить', 'они', 'переименовать', 'это', 'пиво', '.', 'вот', 'в', 'мой', 'представление', 'такой', 'пиво', 'идеально', 'бы', 'заходить', 'в', 'рюмочный', '.', 'ну', 'какой', 'бар', '?', 'в', 'бар', 'нынче', 'крафт', ',', 'или', 'азотный', 'стаут', '.', 'а', 'если', 'и', 'чехия', ',', 'то', 'уж', 'точно', 'не', 'из', 'смоленск', '.', 'а', 'в', 'рюмочный', ',', 'после', 'хреновуха', 'и', 'бутерброд', 'с', 'килька', ',', 'такой', 'пиво', 'залететь', 'бы', 'на', 'ура', '!', 'чешский', 'для', 'рюмочный', '!', 'идеальный', 'вариант', '!', 'не', 'благодарить', '...']"
20,Pomme De Sodome (Россия),"Сделаю паузу в исследовании массмаркета до сотки. Сегодня попробуем Pomme De Sodome. Это пиво родом из Санкт-Петербурга - плод совместного творчества пивоварни АФ-Брю и Токсовской сидерии. Последние ребята делают лучшие сидры в РФ. Если кто не пробовал их Святой Домкрат - вы не пробовали сидр! И вот они взяли сок из которого делаю свой сидр и сварили на нем пиво на пивоварне АФ. Но этим извращения не закончились - пиво закатали в бочки из под кальвадоса и оставили на эйджинг!
Дизайн бутылки хорош. С идеей, все просто, лаконично но достойно. Сургуч, дорогая наклейка. В бокале пиво отлично смотрится.  Аромат приятный, густой. Яблоко, карамелька, бочка. Все гармонично  Во вкусе снова яблоко, бочка, кальвадос, карамелька. Пиво густое, чуть солоноватое. Интересное!  Интересная штука получилась! Для вдумчивого, так сказать, потребления. В баню не брать - не вывезете!  ",8.5,1,"['сделать', 'пауза', 'в', 'исследование', 'массмаркет', 'до', 'сотка', '.', 'сегодня', 'попробовать', 'pomme', 'de', 'sodome', '.', 'это', 'пиво', 'род', 'из', 'санкт-петербург', '-', 'плод', 'совместный', 'творчество', 'пивоварня', 'аф-брить', 'и', 'токсовский', 'сидерий', '.', 'последний', 'ребята', 'делать', 'хороший', 'сидр', 'в', 'рф', '.', 'если', 'кто', 'не', 'пробовать', 'они', 'святой', 'домкрат', '-', 'вы', 'не', 'пробовать', 'сидр', '!', 'и', 'вот', 'они', 'взять', 'сок', 'из', 'который', 'делать', 'свой', 'сидр', 'и', 'сварить', 'на', 'немой', 'пиво', 'на', 'пивоварня', 'аф', '.', 'но', 'это', 'извращение', 'не', 'закончиться', '-', 'пиво', 'закатать', 'в', 'бочка', 'из', 'под', 'кальвадос', 'и', 'оставить', 'на', 'эйджинга', '!', 'дизайн', 'бутылка', 'хороший', '.', 'с', 'идея', ',', 'всё', 'просто', ',', 'лаконично', 'но', 'достойно', '.', 'сургуч', ',', 'дорогой', 'наклейка', '.', 'в', 'бокал', 'пиво', 'отлично', 'смотреться', '.', 'аромат', 'приятный', ',', 'густой', '.', 'яблоко', ',', 'карамелька', ',', 'бочка', '.', 'всё', 'гармонично', 'в', 'вкус', 'снова', 'яблоко', ',', 'бочка', ',', 'кальвадос', ',', 'карамелька', '.', 'пиво', 'густой', ',', 'чуть', 'солоноватый', '.', 'интересный', '!', 'интересный', 'штука', 'получиться', '!', 'для', 'вдумчивый', ',', 'так', 'сказать', ',', 'потребление', '.', 'в', 'баня', 'не', 'брать', '-', 'не', 'вывезти', '!']"
21,Zahringer Heweweizen Царингер Хефевайзен (Германия),"Продолжаем изучать бюджетный сегмент пива. Уже не так и просто стало находить неиспробованные ранее образцы в ценовом сегменте до сотки. В Питере ассортимент известных торговых сетей уже изучен, и про большую часть такого пива написано. Видимо скоро снова придется устанавливать богомерзкий антапт и переходить на крафт! Но недавно я проезжал Москву и где-то в Химках заехал в местный ТЦ Глобус. Там удалось немного пополнить запасы говнопиваса, так-что на некоторое время контент есть. 
Пена шикарная, стойкая. Цвет мутный, но это в стиле. Карамель и немного банана. Вполне приятный аромат. По мне так этому хефевайцену не хватило плотности. И в середине пиво показалось изрядно кислым.  Обычный скучный немец. Не плохой ,но и не запоминающийся. Стоил около 80 рублей.  ",7.5,1,"['продолжать', 'изучать', 'бюджетный', 'сегмент', 'пиво', '.', 'уже', 'не', 'так', 'и', 'просто', 'стать', 'находить', 'неиспробованный', 'ранее', 'образец', 'в', 'ценовый', 'сегмент', 'до', 'сотка', '.', 'в', 'питер', 'ассортимент', 'известный', 'торговый', 'сеть', 'уже', 'изучить', ',', 'и', 'про', 'больший', 'часть', 'такой', 'пиво', 'написать', '.', 'видимо', 'скоро', 'снова', 'прийтись', 'устанавливать', 'богомерзкий', 'антапт', 'и', 'переходить', 'на', 'крафт', '!', 'но', 'недавно', 'я', 'проезжать', 'москва', 'и', 'где-то', 'в', 'химки', 'заехать', 'в', 'местный', 'тц', 'глобус', '.', 'там', 'удаться', 'немного', 'пополнить', 'запас', 'говнопивас', ',', 'так-что', 'на', 'некоторый', 'время', 'контент', 'есть', '.', 'пена', 'шикарный', ',', 'стойкий', '.', 'цвет', 'мутный', ',', 'но', 'это', 'в', 'стиль', '.', 'карамель', 'и', 'немного', 'банан', '.', 'вполне', 'приятный', 'аромат', '.', 'по', 'я', 'так', 'этот', 'хефевайцен', 'не', 'хватить', 'плотность', '.', 'и', 'в', 'середина', 'пиво', 'показаться', 'изрядно', 'кислый', '.', 'обычный', 'скучный', 'немец', '.', 'не', 'плохой', ',', 'но', 'и', 'не', 'запоминаться', '.', 'стоить', 'около', '80', 'рубль', '.']"
22,Мягкий солод (Россия),"Судя по информации на этикетке, пиво сварено на специально отобранных мягких сортах солода с собственной солодовни. Вот так! Пены мне не досталось почти. Да и та что досталась, сдулась моментально. Крайне пустой солодовый аромат. Без гадости. И на том спасибо! Солодовая водичка. Слегка кислая. В послевкусии чуть горчит дешевым хмелем. Водянистое, пустое пиво.  ",4.5,-1,"['судить', 'по', 'информация', 'на', 'этикетка', ',', 'пиво', 'сварить', 'на', 'специально', 'отобрать', 'мягкий', 'сорт', 'солод', 'с', 'собственный', 'солодовня', '.', 'вот', 'так', '!', 'пена', 'я', 'не', 'достаться', 'почти', '.', 'да', 'и', 'тот', 'что', 'достаться', ',', 'сдуться', 'моментально', '.', 'крайне', 'пустой', 'солодовый', 'аромат', '.', 'без', 'гадость', '.', 'и', 'на', 'тот', 'спасибо', '!', 'солодовый', 'водичка', '.', 'слегка', 'кислый', '.', 'в', 'послевкусие', 'чуть', 'горчить', 'дешёвый', 'хмель', '.', 'водянистый', ',', 'пустой', 'пиво', '.']"
23,Уайлд Бист Wild Beast (Россия),"На сайте производителя в описании этого пива написана сильная фраза: Крафт #byOchakovo. Подобные громкие заявления у большинства почитателей крафтового пива моментально вызовут справедливые сомнения. Особенно когда покупаешь его по 49 рублей. Оформление этикетки на высоте. Крафтово! В бокале тоже пиво прекрасно смотрится. Пена хоть и не как у шампуня, но очень стойкая. Аромат чистый. Немного карамели и бананов. Во вкусе снова карамель, сухофрукты. Бокал этого пива я пил минут 40. Вначале оно было прямо из холодильника и казалось недостаточно плотным, водянистым и пустым. Когда нагрелось, то вместе с плотностью пришла какая-то кислинка.  Не стоит забывать что оно еще и достаточно крепкое, но при этом вовсе не спиртит. Для ценника в 49 рублей пиво хорошее.   ",7.2,1,"['на', 'сайт', 'производитель', 'в', 'описание', 'это', 'пиво', 'написать', 'сильный', 'фраза', ':', 'крафт', '#', 'byochakovo', '.', 'подобный', 'громкий', 'заявление', 'у', 'большинство', 'почитатель', 'крафтовый', 'пиво', 'моментально', 'вызвать', 'справедливый', 'сомнение', '.', 'особенно', 'когда', 'покупать', 'он', 'по', '49', 'рубль', '.', 'оформление', 'этикетка', 'на', 'высота', '.', 'крафтовый', '!', 'в', 'бокал', 'тоже', 'пиво', 'прекрасно', 'смотреться', '.', 'пена', 'хоть', 'и', 'не', 'как', 'у', 'шампунь', ',', 'но', 'очень', 'стойкий', '.', 'аромат', 'чистый', '.', 'немного', 'карамель', 'и', 'банан', '.', 'в', 'вкус', 'снова', 'карамель', ',', 'сухофрукты', '.', 'бокал', 'это', 'пиво', 'я', 'пить', 'минута', '40', '.', 'вначале', 'оно', 'быть', 'прямо', 'из', 'холодильник', 'и', 'казаться', 'недостаточно', 'плотный', ',', 'водянистый', 'и', 'пустой', '.', 'когда', 'нагреться', ',', 'то', 'вместе', 'с', 'плотность', 'прийти', 'какой-то', 'кислинка', '.', 'не', 'стоить', 'забывать', 'что', 'оно', 'ещё', 'и', 'достаточно', 'крепкий', ',', 'но', 'при', 'это', 'вовсе', 'не', 'спиртит', '.', 'для', 'ценник', 'в', '49', 'рубль', 'пиво', 'хороший', '.']"
24,Пугач (Россия),"Новинка! Честное! Российское! Твое! Такими словами приветствует нас этикетка. Кроме последнего слова, это я уже от себя добавил. Считаю так было бы лучше. Пиво Пугач от Очаково может напугать как минимум своей ценой. Я купил его за 29 рублей. Не знаю что там после акциза, тары, логистики и интереса торговцев вообще могло остаться в банке. Действительно, Пугач.  Пены нет совсем, а цвет приятный.   Аромат не самый приятный. Тут на переднем плане что-то техническое. Но если дольше внюхиваться то можно найти карамель и даже намек на хмель.  Вкус лучше аромата. Для заявленных 10% пиво достаточно плотное. Вкус солодовый. На мой взгляд излишне сладкий. Хмель заявляет о себе лишь небольшой травянистостью в послевкусии.  Не такой уж страшный оказался Пугач. Несмотря на столь дешевую цену, пиво в этом пиве тоже есть :) ",5.7,1,"['новинка', '!', 'честной', '!', 'российский', '!', 'твой', '!', 'такой', 'слово', 'приветствовать', 'мы', 'этикетка', '.', 'кроме', 'последний', 'слово', ',', 'это', 'я', 'уже', 'от', 'себя', 'добавить', '.', 'считать', 'так', 'быть', 'бы', 'хороший', '.', 'пиво', 'пугач', 'от', 'очаково', 'мочь', 'напугать', 'как', 'минимум', 'свой', 'цена', '.', 'я', 'купить', 'он', 'за', '29', 'рубль', '.', 'не', 'знать', 'что', 'там', 'после', 'акциз', ',', 'тара', ',', 'логистика', 'и', 'интерес', 'торговец', 'вообще', 'мочь', 'остаться', 'в', 'банк', '.', 'действительно', ',', 'пугач', '.', 'пена', 'нет', 'совсем', ',', 'а', 'цвет', 'приятный', '.', 'аромат', 'не', 'самый', 'приятный', '.', 'тут', 'на', 'передний', 'план', 'что-то', 'технический', '.', 'но', 'если', 'долгий', 'внюхиваться', 'то', 'можно', 'найти', 'карамель', 'и', 'даже', 'намёк', 'на', 'хмель', '.', 'вкус', 'хороший', 'аромат', '.', 'для', 'заявить', '10', '%', 'пиво', 'достаточно', 'плотный', '.', 'вкус', 'солодовый', '.', 'на', 'мой', 'взгляд', 'излишний', 'сладкий', '.', 'хмель', 'заявлять', 'о', 'себя', 'лишь', 'небольшой', 'травянистость', 'в', 'послевкусие', '.', 'не', 'такой', 'уж', 'страшный', 'оказаться', 'пугач', '.', 'несмотря', 'на', 'столь', 'дешёвый', 'цена', ',', 'пиво', 'в', 'это', 'пиво', 'тоже', 'есть', ':', ')']"
25,Балтика 7 Мягкое (Россия),"Недавно Балтика выкатила на полки магазинов свою новинку - Авторское Решение со странным полем для заметок на банке. При этом никаких пресс-релизов про это пиво не было. И до сих пор нет никакой официальной информации. Это породило целый ряд предположений. Появились версии что в ритейл пивас попал случайно. Якобы с какой-то закрытой вечеринки Балтики. Подгоняемые алчностью пивные спекулянты ринулись в Пятерочки скупать все банки с Балтикой Авторское Решение, в надежде позже, немного их заейджив, слить втридорога. 
Хорошо что хоть про Балтику 7 Мягкое, руководство компании не поленилось выкатить на сайт анонс. 
Дизайн банки не плох. Цвет бледноватый, пена вначале обильная, но быстро покрывается дырками и разваливается без следа. Какой-то тяжелый, солодовый аромат не без традиционных для Балтики ноток тряпок и картона.  На вкус оно и кислое, и сладковатое одновременно. Изрядно водянистое.  Сказать что совсем отвратное тоже не могу. Обычный уровень массовой Балтики. И, уверен, поклонников у пива будет тьма. ",5.0,1,"['недавно', 'балтика', 'выкатить', 'на', 'полка', 'магазин', 'свой', 'новинка', '-', 'авторский', 'решение', 'с', 'странный', 'поле', 'для', 'заметка', 'на', 'банк', '.', 'при', 'это', 'никакой', 'пресс-релиз', 'про', 'это', 'пиво', 'не', 'быть', '.', 'и', 'до', 'сей', 'пора', 'нет', 'никакой', 'официальный', 'информация', '.', 'это', 'породить', 'целый', 'ряд', 'предположение', '.', 'появиться', 'версия', 'что', 'в', 'ритейл', 'пивас', 'попасть', 'случайно', '.', 'якобы', 'с', 'какой-то', 'закрытый', 'вечеринка', 'балтика', '.', 'подгонять', 'алчность', 'пивная', 'спекулянт', 'ринуться', 'в', 'пятёрочка', 'скупать', 'всё', 'банк', 'с', 'балтика', 'авторский', 'решение', ',', 'в', 'надежда', 'поздний', ',', 'немного', 'они', 'заейдживой', ',', 'слить', 'втридорога', '.', 'хорошо', 'что', 'хоть', 'про', 'балтика', '7', 'мягкий', ',', 'руководство', 'компания', 'не', 'полениться', 'выкатить', 'на', 'сайт', 'анонс', '.', 'дизайн', 'банк', 'не', 'плохой', '.', 'цвет', 'бледноватый', ',', 'пена', 'вначале', 'обильный', ',', 'но', 'быстро', 'покрываться', 'дырка', 'и', 'разваливаться', 'без', 'след', '.', 'какой-то', 'тяжёлый', ',', 'солодовый', 'аромат', 'не', 'без', 'традиционный', 'для', 'балтика', 'нотка', 'тряпка', 'и', 'картон', '.', 'на', 'вкус', 'оно', 'и', 'кислый', ',', 'и', 'сладковатый', 'одновременно', '.', 'изрядно', 'водянистый', '.', 'сказать', 'что', 'совсем', 'отвратный', 'тоже', 'не', 'мочь', '.', 'обычный', 'уровень', 'массовый', 'балтика', '.', 'и', ',', 'уверенный', ',', 'поклонник', 'у', 'пиво', 'быть', 'тьма', '.']"
26,Erzquell Pils Эрцкель Пилс (Германия),"Достаточно редкое пиво в наших краях. На сколько мне известно в Россию эту пивоварню возит только один поставщик. И продается это все в заведениях Санкт-Петербурга. Дизайн стандартный для немецкой классики. В бокале у пива богатая белая шапка. Цвет чистый.  Аромат насыщенный, солодовый.  Травянистый, немного цитрусовый Ожидаешь легкости и водянистости, как от большинства классических немцев.  Но тут легкость только вначале. Потом появляется очень заметный хмель. Послевкусие сухое, травянистое.  От пива получил совсем не то что ожидал.  Достаточно бодрый немец оказался!  ",7.5,1,"['достаточно', 'редкий', 'пиво', 'в', 'наш', 'край', '.', 'на', 'сколько', 'я', 'известно', 'в', 'россия', 'этот', 'пивоварня', 'возить', 'только', 'один', 'поставщик', '.', 'и', 'продаваться', 'это', 'всё', 'в', 'заведение', 'санкт-петербург', '.', 'дизайн', 'стандартный', 'для', 'немецкий', 'классика', '.', 'в', 'бокал', 'у', 'пиво', 'богатый', 'белый', 'шапка', '.', 'цвет', 'чистый', '.', 'аромат', 'насыщенный', ',', 'солодовый', '.', 'травянистый', ',', 'немного', 'цитрусовый', 'ожидать', 'лёгкость', 'и', 'водянистость', ',', 'как', 'от', 'большинство', 'классический', 'немец', '.', 'но', 'тут', 'лёгкость', 'только', 'вначале', '.', 'потом', 'появляться', 'очень', 'заметный', 'хмель', '.', 'послевкусие', 'сухой', ',', 'травянистый', '.', 'от', 'пиво', 'получить', 'совсем', 'не', 'то', 'что', 'ожидать', '.', 'достаточно', 'бодрый', 'немец', 'оказаться', '!']"
