token,pos,mystem,mystem_f,natasha,natasha_f,pymorphy,pymorphy_f
лебедей,S,S,S,NOUN,S,NOUN,S
метнулась,V,V,V,VERB,V,VERB,V
пара,S,S,S,NOUN,S,NOUN,S
не,PART,PART,PART,PART,PART,PRCL,PART
знаю,V,V,V,VERB,V,VERB,V
чья,APRO,APRO,APRO,DET,APRO,ADJF,A
была,V,V,V,AUX,V,VERB,V
вина,S,S,S,NOUN,S,NOUN,S
закат,S,S,S,NOUN,S,NOUN,S
замлел,V,V,V,NOUN,S,VERB,V
за,PR,PR,PR,ADP,PR,PREP,PR
дымкой,S,S,S,NOUN,S,NOUN,S
пара,S,S,S,NOUN,S,NOUN,S
алея,V,S,S,VERB,V,GRND,V
как,ADVPRO,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
поток,S,S,S,NOUN,S,NOUN,S
вина,S,S,S,NOUN,S,NOUN,S
была,V,V,V,AUX,V,VERB,V
то,SPRO,CONJ,CONJ,DET,APRO,CONJ,CONJ
правда,S,ADV,ADV,NOUN,S,PRCL,PART
ли,PART,PART,PART,PART,PART,CONJ,CONJ
мечта,S,S,S,NOUN,S,NOUN,S
ли,PART,PART,PART,PART,PART,CONJ,CONJ
уста,S,S,S,NOUN,S,NOUN,S
двоих,NUM,NUM,NUM,NUM,NUM,NUMR,NUM
слились,V,V,V,VERB,V,VERB,V
в,PR,PR,PR,ADP,PR,PREP,PR
одно,NUM,ANUM,ANUM,NUM,NUM,ADJF,A
две,NUM,NUM,NUM,NUM,NUM,NUMR,NUM
лодки,S,S,S,NOUN,S,NOUN,S
как,ADVPRO,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
и,CONJ,CONJ,CONJ,PART,PART,CONJ,CONJ
мы,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
мечтали,V,V,V,VERB,V,VERB,V
как,ADVPRO,ADVPRO,ADVPRO,ADV,ADV,CONJ,CONJ
будто,PART,PART,PART,PART,PART,CONJ,CONJ
вонзены,V,V,V,VERB,V,PRTS,V
во,PR,PR,PR,ADP,PR,PREP,PR
дно,S,S,S,NOUN,S,NOUN,S
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
свято,ADV,A,A,ADV,ADV,ADJS,A
помню,V,V,V,VERB,V,VERB,V
эту,APRO,APRO,APRO,DET,APRO,ADJF,A
встречу,S,S,S,NOUN,S,NOUN,S
пруд,S,S,S,NOUN,S,NOUN,S
берег,S,S,S,NOUN,S,NOUN,S
неба,S,S,S,NOUN,S,NOUN,S
яркий,A,A,A,ADJ,A,ADJF,A
плат,S,S,S,NOUN,S,NOUN,S
миг,S,S,S,NOUN,S,NOUN,S
тот,APRO,APRO,APRO,DET,APRO,ADJF,A
же,PART,PART,PART,PART,PART,PRCL,PART
если,CONJ,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
вновь,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
встречу,V,S,S,NOUN,S,NOUN,S
и,CONJ,CONJ,CONJ,PART,PART,CONJ,CONJ
жизнь,S,S,S,NOUN,S,NOUN,S
ничтожная,A,A,A,ADJ,A,ADJF,A
из,PR,PR,PR,ADP,PR,PREP,PR
плат,S,S,S,NOUN,S,NOUN,S
о,INTJ,PR,PR,ADP,PR,PREP,PR
рассмейтесь,V,V,V,ADJ,A,VERB,V
смехачи,S,S,S,NOUN,S,NOUN,S
о,INTJ,PR,PR,ADP,PR,PREP,PR
засмейтесь,V,V,V,ADJ,A,VERB,V
смехачи,S,S,S,NOUN,S,NOUN,S
что,CONJ,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
смеются,V,V,V,VERB,V,VERB,V
смехами,S,S,S,ADV,ADV,NOUN,S
что,CONJ,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
смеянствуют,V,V,V,ADJ,A,VERB,V
смеяльно,ADV,A,A,NOUN,S,ADJS,A
о,INTJ,PR,PR,ADP,PR,PREP,PR
засмейтесь,V,V,V,ADJ,A,VERB,V
усмеяльно,ADV,A,A,NOUN,S,ADJS,A
о,INTJ,PR,PR,ADP,PR,PREP,PR
рассмешищ,S,S,S,ADJ,A,NOUN,S
надсмеяльных,A,A,A,ADJ,A,ADJF,A
смех,S,S,S,NOUN,S,NOUN,S
усмейных,ADV,A,A,ADJ,A,ADJF,A
смехачей,S,S,S,NOUN,S,NOUN,S
о,INTJ,PR,PR,ADP,PR,PREP,PR
иссмейся,V,V,V,ADJ,A,VERB,V
рассмеяльно,ADV,A,A,ADJ,A,ADJS,A
смех,S,S,S,NOUN,S,NOUN,S
надсмейных,A,A,A,ADJ,A,ADJF,A
смеячей,S,S,S,ADJ,A,NOUN,S
смейево,ADV,ADV,ADV,ADJ,A,ADJS,A
смейево,ADV,ADV,ADV,ADJ,A,ADJS,A
усмей,V,V,V,ADJ,A,VERB,V
осмей,V,V,V,ADJ,A,VERB,V
смешики,S,S,S,ADJ,A,NOUN,S
смешики,S,S,S,ADJ,A,NOUN,S
смеюнчики,S,S,S,ADJ,A,NOUN,S
смеюнчики,S,S,S,NOUN,S,NOUN,S
о,INTJ,PR,PR,ADP,PR,PREP,PR
рассмейтесь,V,V,V,ADJ,A,VERB,V
смехачи,S,S,S,NOUN,S,NOUN,S
о,INTJ,PR,PR,ADP,PR,PREP,PR
засмейтесь,V,V,V,ADJ,A,VERB,V
смехачи,S,S,S,NOUN,S,NOUN,S
мой,APRO,APRO,APRO,DET,APRO,ADJF,A
возлюбленный,A,A,A,ADJ,A,PRTF,V
киборг,S,S,S,NOUN,S,NOUN,S
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
хочу,V,V,V,VERB,V,VERB,V
быть,V,V,V,AUX,V,INFN,V
с,PR,PR,PR,ADP,PR,PREP,PR
тобой,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
в,PR,PR,PR,ADP,PR,PREP,PR
электросатисфакции,S,S,S,NOUN,S,NOUN,S
целовать,V,V,V,VERB,V,INFN,V
твоё,APRO,APRO,APRO,ADJ,A,ADJF,A
тело,S,S,S,NOUN,S,NOUN,S
стальное,A,A,A,VERB,V,ADJF,A
мой,APRO,APRO,APRO,DET,APRO,ADJF,A
возлюбленный,A,A,A,ADJ,A,PRTF,V
киборг,S,S,S,NOUN,S,NOUN,S
вижу,V,V,V,VERB,V,VERB,V
в,PR,PR,PR,ADP,PR,PREP,PR
твоём,APRO,APRO,APRO,ADJ,A,ADJF,A
теле,S,S,S,NOUN,S,NOUN,S
огонь,S,S,S,NOUN,S,NOUN,S
как,ADVPRO,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
трансформатор,S,S,S,ADJ,A,NOUN,S
сердце,S,S,S,NOUN,S,NOUN,S
гудит,V,V,V,VERB,V,VERB,V
электронное,A,A,A,ADJ,A,ADJF,A
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
живое,A,A,A,ADJ,A,ADJF,A
электричество,S,S,S,NOUN,S,NOUN,S
насквозь,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
в,PR,PR,PR,ADP,PR,PREP,PR
организме,S,S,S,NOUN,S,NOUN,S
расцветает,V,V,V,VERB,V,VERB,V
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
дышу,V,V,V,VERB,V,VERB,V
как,ADVPRO,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
смерть,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
тумане,S,S,S,NOUN,S,NOUN,S
превращаясь,V,V,V,ADV,ADV,GRND,V
в,PR,PR,PR,ADP,PR,PREP,PR
чистый,A,A,A,ADJ,A,ADJF,A
лист,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
небесах,S,S,S,NOUN,S,NOUN,S
моей,APRO,APRO,APRO,DET,APRO,ADJF,A
судьбы,S,S,S,NOUN,S,NOUN,S
пеплом,S,S,S,NOUN,S,NOUN,S
дух,S,S,S,NOUN,S,NOUN,S
спадает,V,V,V,VERB,V,VERB,V
искра,S,S,S,ADJ,A,NOUN,S
божья,A,A,A,NOUN,S,ADJF,A
как,ADVPRO,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
звезда,S,S,S,NOUN,S,NOUN,S
озаряет,V,V,V,VERB,V,VERB,V
футуризм,S,S,S,NOUN,S,NOUN,S
снова,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
зачат,V,V,V,VERB,V,PRTS,V
в,PR,PR,PR,ADP,PR,PREP,PR
электроне,S,S,S,ADJ,A,NOUN,S
тело,S,S,S,NOUN,S,NOUN,S
киборга,S,S,S,VERB,V,NOUN,S
живое,A,A,A,ADJ,A,ADJF,A
окружает,V,V,V,VERB,V,VERB,V
сталью,S,S,S,NOUN,S,NOUN,S
дух,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
сердце,S,S,S,NOUN,S,NOUN,S
взрыв,S,S,S,NOUN,S,NOUN,S
мотора,S,S,S,NOUN,S,NOUN,S
стук,S,S,S,NOUN,S,NOUN,S
электричество,S,S,S,NOUN,S,NOUN,S
мой,APRO,APRO,APRO,DET,APRO,ADJF,A
друг,S,S,S,NOUN,S,NOUN,S
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
в,PR,PR,PR,ADP,PR,PREP,PR
него,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
давно,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
влюблён,V,A,A,VERB,V,PRTS,V
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
теперь,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
всецело,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
в,PR,PR,PR,ADP,PR,PREP,PR
кибер,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
электроны,S,S,S,NOUN,S,NOUN,S
погружён,V,V,V,NOUN,S,PRTS,V
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
познал,V,V,V,VERB,V,VERB,V
себя,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
во,PR,PR,PR,ADP,PR,PREP,PR
всём,SPRO,SPRO,SPRO,PRON,SPRO,ADJF,A
что,CONJ,SPRO,SPRO,PRON,SPRO,CONJ,CONJ
касается,V,V,V,VERB,V,VERB,V
белка,S,S,S,NOUN,S,NOUN,S
а,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
теперь,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
мой,APRO,APRO,APRO,DET,APRO,ADJF,A
дух,S,S,S,NOUN,S,NOUN,S
нейрон,S,S,S,NOUN,S,NOUN,S
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
нейтрино,S,S,S,NOUN,S,NOUN,S
душа,S,S,S,NOUN,S,NOUN,S
моя,S,APRO,APRO,DET,APRO,ADJF,A
разум,S,S,S,NOUN,S,NOUN,S
цифровой,A,A,A,ADJ,A,ADJF,A
аналог,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
сердце,S,S,S,NOUN,S,NOUN,S
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
пустота,S,S,S,NOUN,S,NOUN,S
эры,S,S,S,NOUN,S,NOUN,S
кибердемиургов,S,S,S,NOUN,S,NOUN,S
надвигается,V,V,V,VERB,V,VERB,V
заря,S,S,S,NOUN,S,NOUN,S
а,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
любовь,S,S,S,NOUN,S,NOUN,S
моя,APRO,APRO,APRO,DET,APRO,ADJF,A
проста,A,A,A,ADJ,A,ADJS,A
это,SPRO,SPRO,SPRO,PART,PART,PRCL,PART
киберкрасота,S,S,S,ADJ,A,NOUN,S
виртуальная,A,A,A,ADJ,A,ADJF,A
нирвана,S,S,S,NOUN,S,NOUN,S
раскрывает,V,V,V,VERB,V,VERB,V
мне,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
врата,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
бесконечную,A,A,A,ADJ,A,ADJF,A
миграцию,S,S,S,NOUN,S,NOUN,S
сквозь,ADV,PR,PR,ADP,PR,PREP,PR
познание,S,S,S,NOUN,S,NOUN,S
себя,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
и,CONJ,CONJ,CONJ,PART,PART,CONJ,CONJ
в,PR,PR,PR,ADP,PR,PREP,PR
глазах,S,S,S,NOUN,S,NOUN,S
импринтинг,S,S,S,ADJ,A,NOUN,S
звёздный,A,A,A,ADJ,A,ADJF,A
детонирующая,A,V,V,ADJ,A,PRTF,V
пустота,S,S,S,NOUN,S,NOUN,S
там,ADV,ADVPRO,ADVPRO,ADV,ADV,ADVB,ADV
любовь,S,S,S,NOUN,S,NOUN,S
свою,APRO,APRO,APRO,DET,APRO,ADJF,A
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
встретил,V,V,V,VERB,V,VERB,V
звезду,S,S,S,NOUN,S,NOUN,S
трудно,ADV,ADV,ADV,ADJ,A,ADVB,ADV
не,PART,PART,PART,PART,PART,PRCL,PART
заметить,V,V,V,VERB,V,INFN,V
роскошная,A,A,A,ADJ,A,ADJF,A
девушка,S,S,S,NOUN,S,NOUN,S
из,PR,PR,PR,ADP,PR,PREP,PR
лучших,A,A,A,ADJ,A,ADJF,A
металлических,A,A,A,ADJ,A,ADJF,A
сплавов,S,S,S,NOUN,S,NOUN,S
её,APRO,APRO,APRO,DET,APRO,ADJF,A
тело,S,S,S,NOUN,S,NOUN,S
квинтенсенция,S,S,S,VERB,V,NOUN,S
межгалактических,A,A,A,ADJ,A,ADJF,A
металлов,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
её,APRO,APRO,APRO,DET,APRO,ADJF,A
духе,S,S,S,NOUN,S,NOUN,S
латентная,A,A,A,ADJ,A,ADJF,A
детонация,S,S,S,NOUN,S,NOUN,S
унивёрсума,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
сердце,S,S,S,NOUN,S,NOUN,S
мощнейший,A,A,A,ADJ,A,ADJF,A
процессор,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
глазах,S,S,S,NOUN,S,NOUN,S
тайна,S,S,S,NOUN,S,NOUN,S
звёздная,A,A,A,VERB,V,ADJF,A
фриттата,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
переводе,S,S,S,NOUN,S,NOUN,S
с,PR,PR,PR,ADP,PR,PREP,PR
ладино,S,A,A,ADJ,A,ADJS,A
языка,S,S,S,NOUN,S,NOUN,S
сефардских,A,A,A,ADJ,A,ADJF,A
евреев,S,S,S,NOUN,S,NOUN,S
означает,V,V,V,VERB,V,VERB,V
тушеная,A,A,A,NOUN,S,ADJF,A
пази,S,V,V,ADJ,A,VERB,V
мангольд,S,S,S,ADJ,A,NOUN,S
листовая,A,A,A,ADJ,A,ADJF,A
свекла,S,S,S,NOUN,S,NOUN,S
это,SPRO,PART,PART,PRON,SPRO,PRCL,PART
очень,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
простое,A,A,A,ADJ,A,ADJF,A
блюдо,S,S,S,NOUN,S,NOUN,S
пришло,V,V,V,VERB,V,VERB,V
из,PR,PR,PR,ADP,PR,PREP,PR
жарких,A,A,A,ADJ,A,ADJF,A
стран,S,S,S,NOUN,S,NOUN,S
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
сейчас,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
оно,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
особенно,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
популярно,A,A,A,ADJ,A,ADVB,ADV
у,PR,PR,PR,ADP,PR,PREP,PR
иерусалимских,A,A,A,ADJ,A,ADJF,A
сефардских,A,A,A,NOUN,S,ADJF,A
хозяек,S,S,S,NOUN,S,NOUN,S
которые,CONJ,APRO,APRO,PRON,SPRO,ADJF,A
начинают,V,V,V,VERB,V,VERB,V
его,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
готовить,V,V,V,VERB,V,INFN,V
в,PR,PR,PR,ADP,PR,PREP,PR
песах,S,S,S,NOUN,S,NOUN,S
а,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
последние,A,A,A,ADJ,A,ADJF,A
фриттаты,S,S,S,ADJ,A,NOUN,S
подают,V,V,V,VERB,V,VERB,V
на,PR,PR,PR,ADP,PR,PREP,PR
стол,S,S,S,NOUN,S,NOUN,S
уже,A,ADV,ADV,ADV,ADV,ADVB,ADV
в,PR,PR,PR,ADP,PR,PREP,PR
конце,S,S,S,NOUN,S,NOUN,S
осени,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
суккот,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
знойную,A,A,A,ADJ,A,ADJF,A
погоду,S,S,S,NOUN,S,NOUN,S
она,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
насыщает,V,V,V,VERB,V,VERB,V
но,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
не,PART,PART,PART,PART,PART,PRCL,PART
оставляет,V,V,V,VERB,V,VERB,V
ощущения,S,S,S,NOUN,S,NOUN,S
тяжести,S,S,S,NOUN,S,NOUN,S
